,STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
1531268,ND,ND: Towner County (38095),98.1,296.6,172.0,+,Mortality,5753.0,All Races,Male,All Cancer Sites Combined,2012-2016,159.0,451.6,278.1
1532156,ND,ND: Traill County (38097),115.3,221.1,161.4,43,Mortality,20366.0,All Races,Male,All Cancer Sites Combined,2012-2016,152.8,284.4,211.1
1533494,ND,ND: Walsh County (38099),171.4,272.2,217.1,83,Mortality,27743.0,All Races,Male,All Cancer Sites Combined,2012-2016,238.3,370.9,299.2
1534382,ND,ND: Ward County (38101),139.4,181.7,159.5,233,Mortality,181868.0,All Races,Male,All Cancer Sites Combined,2012-2016,112.2,145.7,128.1
1535270,ND,ND: Wells County (38103),193.6,357.6,263.5,50,Mortality,10350.0,All Races,Male,All Cancer Sites Combined,2012-2016,358.6,636.9,483.1
1536158,ND,ND: Williams County (38105),178.3,257.7,215.6,128,Mortality,85366.0,All Races,Male,All Cancer Sites Combined,2012-2016,125.1,178.3,149.9
1537046,NE,NE: Adams County (31001),144.7,201.8,171.5,153,Mortality,78900.0,All Races,Male,All Cancer Sites Combined,2012-2016,164.4,227.2,193.9
1537934,NE,NE: Antelope County (31003),113.6,217.7,158.0,42,Mortality,16134.0,All Races,Male,All Cancer Sites Combined,2012-2016,187.6,351.9,260.3
1538822,NE,NE: Arthur County (31005),~,~,~,~,Mortality,1114.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1539710,NE,NE: Banner County (31007),~,~,~,~,Mortality,1733.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1540598,NE,NE: Blaine County (31009),~,~,~,~,Mortality,1242.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1541486,NE,NE: Boone County (31011),100.2,235.0,156.6,29,Mortality,13401.0,All Races,Male,All Cancer Sites Combined,2012-2016,144.9,310.8,216.4
1542374,NE,NE: Box Butte County (31013),148.8,254.0,196.1,64,Mortality,28131.0,All Races,Male,All Cancer Sites Combined,2012-2016,175.2,290.5,227.5
1543262,NE,NE: Boyd County (31015),119.7,333.3,198.8,20,Mortality,4986.0,All Races,Male,All Cancer Sites Combined,2012-2016,245.0,619.5,401.1
1544150,NE,NE: Brown County (31017),100.1,255.4,160.0,22,Mortality,7290.0,All Races,Male,All Cancer Sites Combined,2012-2016,189.1,456.9,301.8
1545038,NE,NE: Buffalo County (31019),157.5,211.0,182.9,193,Mortality,120675.0,All Races,Male,All Cancer Sites Combined,2012-2016,138.2,184.2,159.9
1545926,NE,NE: Burt County (31021),161.0,281.4,213.5,57,Mortality,16211.0,All Races,Male,All Cancer Sites Combined,2012-2016,266.3,455.6,351.6
1546814,NE,NE: Butler County (31023),119.4,221.2,163.8,47,Mortality,20612.0,All Races,Male,All Cancer Sites Combined,2012-2016,167.5,303.2,228.0
1547702,NE,NE: Cass County (31025),166.3,235.0,198.4,147,Mortality,63935.0,All Races,Male,All Cancer Sites Combined,2012-2016,194.3,270.2,229.9
1548590,NE,NE: Cedar County (31027),110.4,201.5,150.0,50,Mortality,21786.0,All Races,Male,All Cancer Sites Combined,2012-2016,170.3,302.6,229.5
1549478,NE,NE: Chase County (31029),131.8,301.4,202.7,27,Mortality,9849.0,All Races,Male,All Cancer Sites Combined,2012-2016,180.7,398.9,274.1
1550366,NE,NE: Cherry County (31031),91.6,195.6,134.9,31,Mortality,14483.0,All Races,Male,All Cancer Sites Combined,2012-2016,145.4,303.8,214.0
1551254,NE,NE: Cheyenne County (31033),101.8,192.9,141.8,43,Mortality,25217.0,All Races,Male,All Cancer Sites Combined,2012-2016,123.4,229.7,170.5
1552142,NE,NE: Clay County (31035),96.9,206.6,143.3,32,Mortality,16059.0,All Races,Male,All Cancer Sites Combined,2012-2016,136.3,281.3,199.3
1553030,NE,NE: Colfax County (31037),128.9,239.5,178.2,44,Mortality,27439.0,All Races,Male,All Cancer Sites Combined,2012-2016,116.5,215.3,160.4
1553918,NE,NE: Cuming County (31039),94.1,174.7,128.9,46,Mortality,22657.0,All Races,Male,All Cancer Sites Combined,2012-2016,148.6,270.8,203.0
1554806,NE,NE: Custer County (31041),141.6,231.4,181.8,72,Mortality,26875.0,All Races,Male,All Cancer Sites Combined,2012-2016,209.6,337.4,267.9
1555694,NE,NE: Dakota County (31043),162.5,250.3,203.0,91,Mortality,51487.0,All Races,Male,All Cancer Sites Combined,2012-2016,142.3,217.0,176.7
1556582,NE,NE: Dawes County (31045),119.5,223.4,164.8,46,Mortality,22317.0,All Races,Male,All Cancer Sites Combined,2012-2016,150.9,274.9,206.1
1557470,NE,NE: Dawson County (31047),169.3,242.8,203.6,129,Mortality,61131.0,All Races,Male,All Cancer Sites Combined,2012-2016,176.2,250.7,211.0
1558358,NE,NE: Deuel County (31049),~,~,~,~,Mortality,4704.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1559246,NE,NE: Dixon County (31051),87.8,199.1,134.2,27,Mortality,14714.0,All Races,Male,All Cancer Sites Combined,2012-2016,120.9,267.0,183.5
1560134,NE,NE: Dodge County (31053),186.2,241.2,212.3,247,Mortality,90001.0,All Races,Male,All Cancer Sites Combined,2012-2016,241.3,310.9,274.4
1561022,NE,NE: Douglas County (31055),197.6,215.2,206.3,2283,Mortality,1338296.0,All Races,Male,All Cancer Sites Combined,2012-2016,163.7,177.7,170.6
1561910,NE,NE: Dundy County (31057),135.7,409.6,241.3,17,Mortality,4708.0,All Races,Male,All Cancer Sites Combined,2012-2016,210.3,578.1,361.1
1562798,NE,NE: Fillmore County (31059),188.7,331.5,251.1,56,Mortality,13971.0,All Races,Male,All Cancer Sites Combined,2012-2016,302.8,520.5,400.8
1563686,NE,NE: Franklin County (31061),95.9,246.2,153.5,+,Mortality,7625.0,All Races,Male,All Cancer Sites Combined,2012-2016,180.8,436.8,288.5
1564574,NE,NE: Frontier County (31063),~,~,~,~,Mortality,6872.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1565462,NE,NE: Furnas County (31065),154.7,301.5,217.3,41,Mortality,11971.0,All Races,Male,All Cancer Sites Combined,2012-2016,245.8,464.6,342.5
1566350,NE,NE: Gage County (31067),192.7,263.6,225.8,172,Mortality,53587.0,All Races,Male,All Cancer Sites Combined,2012-2016,274.8,372.7,321.0
1567238,NE,NE: Garden County (31069),~,~,~,~,Mortality,4965.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1568126,NE,NE: Garfield County (31071),100.0,301.4,172.0,+,Mortality,4934.0,All Races,Male,All Cancer Sites Combined,2012-2016,200.7,551.7,344.5
1569014,NE,NE: Gosper County (31073),~,~,~,~,Mortality,5187.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1569902,NE,NE: Grant County (31075),~,~,~,~,Mortality,1681.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1570790,NE,NE: Greeley County (31077),~,~,~,~,Mortality,6101.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1571678,NE,NE: Hall County (31079),183.4,230.1,205.8,317,Mortality,153302.0,All Races,Male,All Cancer Sites Combined,2012-2016,184.6,230.8,206.8
1572566,NE,NE: Hamilton County (31081),115.4,211.8,157.6,47,Mortality,22772.0,All Races,Male,All Cancer Sites Combined,2012-2016,151.7,274.5,206.4
1573454,NE,NE: Harlan County (31083),133.4,285.9,195.4,32,Mortality,8924.0,All Races,Male,All Cancer Sites Combined,2012-2016,245.3,506.2,358.6
1574342,NE,NE: Hayes County (31085),~,~,~,~,Mortality,2402.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1575230,NE,NE: Hitchcock County (31087),127.7,308.9,199.9,24,Mortality,7130.0,All Races,Male,All Cancer Sites Combined,2012-2016,215.7,500.8,336.6
1576118,NE,NE: Holt County (31089),125.2,215.3,165.1,62,Mortality,25662.0,All Races,Male,All Cancer Sites Combined,2012-2016,185.2,309.7,241.6
1577006,NE,NE: Hooker County (31091),~,~,~,~,Mortality,1723.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1577894,NE,NE: Howard County (31093),104.6,212.9,150.7,35,Mortality,16098.0,All Races,Male,All Cancer Sites Combined,2012-2016,151.4,302.4,217.4
1578782,NE,NE: Jefferson County (31095),165.9,288.2,219.9,62,Mortality,18209.0,All Races,Male,All Cancer Sites Combined,2012-2016,261.1,436.5,340.5
1579670,NE,NE: Johnson County (31097),167.4,323.9,235.6,40,Mortality,15216.0,All Races,Male,All Cancer Sites Combined,2012-2016,187.8,358.0,262.9
1580558,NE,NE: Kearney County (31099),102.1,213.1,149.3,34,Mortality,16148.0,All Races,Male,All Cancer Sites Combined,2012-2016,145.8,294.2,210.6
1581446,NE,NE: Keith County (31101),148.5,259.1,197.2,63,Mortality,20507.0,All Races,Male,All Cancer Sites Combined,2012-2016,236.1,393.1,307.2
1582334,NE,NE: Keya Paha County (31103),~,~,~,~,Mortality,1945.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1583222,NE,NE: Kimball County (31105),127.6,280.6,190.6,29,Mortality,9379.0,All Races,Male,All Cancer Sites Combined,2012-2016,207.1,444.1,309.2
1584110,NE,NE: Knox County (31107),171.3,276.0,217.9,76,Mortality,20931.0,All Races,Male,All Cancer Sites Combined,2012-2016,286.1,454.5,363.1
1584998,NE,NE: Lancaster County (31109),171.3,192.7,181.8,1184,Mortality,757786.0,All Races,Male,All Cancer Sites Combined,2012-2016,147.5,165.4,156.2
1585886,NE,NE: Lincoln County (31111),180.0,237.7,207.3,215,Mortality,88184.0,All Races,Male,All Cancer Sites Combined,2012-2016,212.3,278.7,243.8
1586774,NE,NE: Logan County (31113),~,~,~,~,Mortality,1983.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1587662,NE,NE: Loup County (31115),~,~,~,~,Mortality,1546.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1588550,NE,NE: Madison County (31119),141.2,195.1,166.5,162,Mortality,86930.0,All Races,Male,All Cancer Sites Combined,2012-2016,158.8,217.4,186.4
1589438,NE,NE: McPherson County (31117),~,~,~,~,Mortality,1282.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1590326,NE,NE: Merrick County (31121),115.4,214.8,158.5,45,Mortality,19545.0,All Races,Male,All Cancer Sites Combined,2012-2016,167.9,308.1,230.2
1591214,NE,NE: Morrill County (31123),122.4,262.3,181.4,31,Mortality,12375.0,All Races,Male,All Cancer Sites Combined,2012-2016,170.2,355.6,250.5
1592102,NE,NE: Nance County (31125),137.5,315.7,211.3,28,Mortality,8958.0,All Races,Male,All Cancer Sites Combined,2012-2016,207.7,451.8,312.6
1592990,NE,NE: Nemaha County (31127),168.9,302.7,227.9,52,Mortality,17453.0,All Races,Male,All Cancer Sites Combined,2012-2016,222.5,390.7,297.9
1593878,NE,NE: Nuckolls County (31129),138.1,274.4,194.8,41,Mortality,10818.0,All Races,Male,All Cancer Sites Combined,2012-2016,272.0,514.2,379.0
1594766,NE,NE: Otoe County (31131),155.6,234.9,191.9,100,Mortality,39027.0,All Races,Male,All Cancer Sites Combined,2012-2016,208.5,311.6,256.2
1595654,NE,NE: Pawnee County (31133),137.4,330.4,214.3,25,Mortality,6785.0,All Races,Male,All Cancer Sites Combined,2012-2016,238.4,543.9,368.5
1596542,NE,NE: Perkins County (31135),114.3,295.2,186.5,+,Mortality,7419.0,All Races,Male,All Cancer Sites Combined,2012-2016,175.2,432.7,283.1
1597430,NE,NE: Phelps County (31137),89.4,177.4,127.5,38,Mortality,22829.0,All Races,Male,All Cancer Sites Combined,2012-2016,117.8,228.5,166.5
1598318,NE,NE: Pierce County (31139),123.1,237.1,172.6,41,Mortality,18056.0,All Races,Male,All Cancer Sites Combined,2012-2016,163.0,308.0,227.1
1599206,NE,NE: Platte County (31141),175.5,236.2,204.1,186,Mortality,82497.0,All Races,Male,All Cancer Sites Combined,2012-2016,194.2,260.3,225.5
1600094,NE,NE: Polk County (31143),127.6,259.6,183.4,36,Mortality,13025.0,All Races,Male,All Cancer Sites Combined,2012-2016,193.6,382.6,276.4
1600982,NE,NE: Red Willow County (31145),146.8,241.3,189.2,71,Mortality,27333.0,All Races,Male,All Cancer Sites Combined,2012-2016,202.9,327.7,259.8
1601870,NE,NE: Richardson County (31147),153.5,256.3,198.9,67,Mortality,20095.0,All Races,Male,All Cancer Sites Combined,2012-2016,258.4,423.4,333.4
1602758,NE,NE: Rock County (31149),~,~,~,~,Mortality,3561.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1603646,NE,NE: Saline County (31151),187.5,289.7,234.5,89,Mortality,36502.0,All Races,Male,All Cancer Sites Combined,2012-2016,195.8,300.0,243.8
1604534,NE,NE: Sarpy County (31153),183.6,217.0,199.8,618,Mortality,429903.0,All Races,Male,All Cancer Sites Combined,2012-2016,132.6,155.5,143.8
1605422,NE,NE: Saunders County (31155),171.8,245.4,206.0,134,Mortality,52843.0,All Races,Male,All Cancer Sites Combined,2012-2016,212.5,300.3,253.6
1606310,NE,NE: Scotts Bluff County (31157),164.7,218.6,190.1,206,Mortality,88695.0,All Races,Male,All Cancer Sites Combined,2012-2016,201.6,266.2,232.3
1607198,NE,NE: Seward County (31159),149.1,228.4,185.4,92,Mortality,43310.0,All Races,Male,All Cancer Sites Combined,2012-2016,171.2,260.5,212.4
1608086,NE,NE: Sheridan County (31161),148.3,287.7,208.0,43,Mortality,12833.0,All Races,Male,All Cancer Sites Combined,2012-2016,242.5,451.3,335.1
1608974,NE,NE: Sherman County (31163),84.6,248.9,147.9,18,Mortality,7592.0,All Races,Male,All Cancer Sites Combined,2012-2016,140.5,374.7,237.1
1609862,NE,NE: Sioux County (31165),~,~,~,~,Mortality,3334.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1610750,NE,NE: Stanton County (31167),78.0,188.9,124.0,23,Mortality,15239.0,All Races,Male,All Cancer Sites Combined,2012-2016,95.7,226.5,150.9
1611638,NE,NE: Thayer County (31169),100.4,207.1,144.2,36,Mortality,12691.0,All Races,Male,All Cancer Sites Combined,2012-2016,198.7,392.7,283.7
1612526,NE,NE: Thomas County (31171),~,~,~,~,Mortality,1781.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1613414,NE,NE: Thurston County (31173),162.3,336.9,238.7,33,Mortality,17220.0,All Races,Male,All Cancer Sites Combined,2012-2016,131.9,269.1,191.6
1614752,NE,NE: Valley County (31175),61.9,169.2,103.2,19,Mortality,10392.0,All Races,Male,All Cancer Sites Combined,2012-2016,110.1,285.5,182.8
1615640,NE,NE: Washington County (31177),147.7,221.1,181.5,107,Mortality,50755.0,All Races,Male,All Cancer Sites Combined,2012-2016,172.8,254.8,210.8
1616528,NE,NE: Wayne County (31179),143.7,263.4,196.7,48,Mortality,23775.0,All Races,Male,All Cancer Sites Combined,2012-2016,148.9,267.7,201.9
1617416,NE,NE: Webster County (31181),138.9,306.6,208.2,29,Mortality,8950.0,All Races,Male,All Cancer Sites Combined,2012-2016,217.0,465.4,324.0
1618304,NE,NE: Wheeler County (31183),~,~,~,~,Mortality,2024.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1619192,NE,NE: York County (31185),158.6,245.8,198.4,90,Mortality,33901.0,All Races,Male,All Cancer Sites Combined,2012-2016,213.5,326.3,265.5
1620080,NH,NH: Belknap County (33001),188.3,230.4,208.5,423,Mortality,148250.0,All Races,Male,All Cancer Sites Combined,2012-2016,258.8,313.9,285.3
1620968,NH,NH: Carroll County (33003),163.1,203.2,182.1,366,Mortality,117778.0,All Races,Male,All Cancer Sites Combined,2012-2016,279.7,344.3,310.8
1621856,NH,NH: Cheshire County (33005),161.6,198.0,179.1,409,Mortality,186708.0,All Races,Male,All Cancer Sites Combined,2012-2016,198.3,241.4,219.1
1622744,NH,NH: Coos County (33007),206.2,263.9,233.5,277,Mortality,83551.0,All Races,Male,All Cancer Sites Combined,2012-2016,293.6,373.0,331.5
1623632,NH,NH: Grafton County (33009),165.4,197.9,181.0,521,Mortality,220447.0,All Races,Male,All Cancer Sites Combined,2012-2016,216.5,257.5,236.3
1624520,NH,NH: Hillsborough County (33011),176.0,193.5,184.6,1869,Mortality,1004669.0,All Races,Male,All Cancer Sites Combined,2012-2016,177.7,194.7,186.0
1625408,NH,NH: Merrimack County (33013),181.1,209.2,194.7,807,Mortality,362855.0,All Races,Male,All Cancer Sites Combined,2012-2016,207.3,238.3,222.4
1626296,NH,NH: Rockingham County (33015),183.1,203.1,192.9,1586,Mortality,744376.0,All Races,Male,All Cancer Sites Combined,2012-2016,202.7,223.8,213.1
1627184,NH,NH: Strafford County (33017),188.8,222.7,205.2,611,Mortality,306733.0,All Races,Male,All Cancer Sites Combined,2012-2016,183.7,215.6,199.2
1628072,NH,NH: Sullivan County (33019),181.2,230.5,204.6,294,Mortality,106183.0,All Races,Male,All Cancer Sites Combined,2012-2016,246.1,310.4,276.9
1629410,NJ,NJ: Atlantic County (34001),190.4,211.3,200.6,1499,Mortality,663708.0,All Races,Male,All Cancer Sites Combined,2012-2016,214.6,237.6,225.9
1630298,NJ,NJ: Bergen County (34003),156.4,166.4,161.3,4183,Mortality,2256286.0,All Races,Male,All Cancer Sites Combined,2012-2016,179.8,191.1,185.4
1631186,NJ,NJ: Burlington County (34005),187.6,203.9,195.6,2348,Mortality,1105965.0,All Races,Male,All Cancer Sites Combined,2012-2016,203.8,221.1,212.3
1632074,NJ,NJ: Camden County (34007),198.2,214.7,206.3,2544,Mortality,1234928.0,All Races,Male,All Cancer Sites Combined,2012-2016,198.1,214.2,206.0
1632962,NJ,NJ: Cape May County (34009),203.3,234.7,218.5,806,Mortality,232053.0,All Races,Male,All Cancer Sites Combined,2012-2016,323.8,372.2,347.3
1633850,NJ,NJ: Cumberland County (34011),208.4,239.5,223.6,849,Mortality,400016.0,All Races,Male,All Cancer Sites Combined,2012-2016,198.2,227.0,212.2
1634738,NJ,NJ: Essex County (34013),171.3,184.4,177.8,3016,Mortality,1913128.0,All Races,Male,All Cancer Sites Combined,2012-2016,152.1,163.4,157.6
1635626,NJ,NJ: Gloucester County (34015),202.1,224.7,213.2,1486,Mortality,706724.0,All Races,Male,All Cancer Sites Combined,2012-2016,199.7,221.2,210.3
1636514,NJ,NJ: Hudson County (34017),154.0,168.5,161.1,2064,Mortality,1670549.0,All Races,Male,All Cancer Sites Combined,2012-2016,118.3,129.0,123.6
1637402,NJ,NJ: Hunterdon County (34019),142.4,170.0,155.7,555,Mortality,311777.0,All Races,Male,All Cancer Sites Combined,2012-2016,163.5,193.5,178.0
1638290,NJ,NJ: Mercer County (34021),169.6,187.8,178.5,1574,Mortality,911507.0,All Races,Male,All Cancer Sites Combined,2012-2016,164.3,181.4,172.7
1639178,NJ,NJ: Middlesex County (34023),163.7,175.5,169.5,3295,Mortality,2051616.0,All Races,Male,All Cancer Sites Combined,2012-2016,155.2,166.2,160.6
1640066,NJ,NJ: Monmouth County (34025),166.9,179.9,173.3,2899,Mortality,1527460.0,All Races,Male,All Cancer Sites Combined,2012-2016,182.9,196.8,189.8
1640954,NJ,NJ: Morris County (34027),155.0,169.0,161.9,2157,Mortality,1220933.0,All Races,Male,All Cancer Sites Combined,2012-2016,169.3,184.3,176.7
1641842,NJ,NJ: Ocean County (34029),189.9,202.4,196.1,3956,Mortality,1409994.0,All Races,Male,All Cancer Sites Combined,2012-2016,271.9,289.5,280.6
1642730,NJ,NJ: Passaic County (34031),170.2,186.1,178.0,2050,Mortality,1237907.0,All Races,Male,All Cancer Sites Combined,2012-2016,158.5,172.9,165.6
1643618,NJ,NJ: Salem County (34033),216.4,263.1,238.9,434,Mortality,156697.0,All Races,Male,All Cancer Sites Combined,2012-2016,251.5,304.3,277.0
1644506,NJ,NJ: Somerset County (34035),155.0,173.3,164.0,1320,Mortality,809626.0,All Races,Male,All Cancer Sites Combined,2012-2016,154.4,172.1,163.0
1645394,NJ,NJ: Sussex County (34037),182.3,212.6,197.0,747,Mortality,359139.0,All Races,Male,All Cancer Sites Combined,2012-2016,193.3,223.5,208.0
1646282,NJ,NJ: Union County (34039),167.1,182.0,174.4,2208,Mortality,1347674.0,All Races,Male,All Cancer Sites Combined,2012-2016,157.1,170.8,163.8
1647620,NJ,NJ: Warren County (34041),181.2,214.4,197.2,587,Mortality,261599.0,All Races,Male,All Cancer Sites Combined,2012-2016,206.6,243.3,224.4
1648508,NM,NM: Bernalillo County (35001),167.2,180.3,173.7,2838,Mortality,1651583.0,All Races,Male,All Cancer Sites Combined,2012-2016,165.6,178.3,171.8
1649396,NM,NM: Catron County (35003),65.6,178.5,102.6,26,Mortality,9314.0,All Races,Male,All Cancer Sites Combined,2012-2016,182.3,409.0,279.1
1650284,NM,NM: Chaves County (35005),180.8,224.7,201.9,341,Mortality,163135.0,All Races,Male,All Cancer Sites Combined,2012-2016,187.4,232.4,209.0
1651172,NM,NM: Cibola County (35006) - 1982+,136.2,199.9,165.8,114,Mortality,69177.0,All Races,Male,All Cancer Sites Combined,2012-2016,135.9,198.0,164.8
1652060,NM,NM: Colfax County (35007),147.7,225.8,183.0,99,Mortality,32335.0,All Races,Male,All Cancer Sites Combined,2012-2016,248.8,372.8,306.2
1652948,NM,NM: Curry County (35009),179.3,236.0,206.3,218,Mortality,130267.0,All Races,Male,All Cancer Sites Combined,2012-2016,145.9,191.1,167.3
1653836,NM,NM: De Baca County (35011),105.5,329.7,186.7,+,Mortality,4675.0,All Races,Male,All Cancer Sites Combined,2012-2016,195.6,555.8,342.2
1654724,NM,NM: Dona Ana County (35013),155.2,177.8,166.2,871,Mortality,524369.0,All Races,Male,All Cancer Sites Combined,2012-2016,155.3,177.5,166.1
1655612,NM,NM: Eddy County (35015),163.7,209.4,185.5,271,Mortality,141539.0,All Races,Male,All Cancer Sites Combined,2012-2016,169.3,215.7,191.5
1656500,NM,NM: Grant County (35017),160.8,214.9,186.1,214,Mortality,70772.0,All Races,Male,All Cancer Sites Combined,2012-2016,263.2,345.7,302.4
1657388,NM,NM: Guadalupe County (35019),137.3,293.4,203.8,31,Mortality,12566.0,All Races,Male,All Cancer Sites Combined,2012-2016,167.6,350.2,246.7
1658276,NM,NM: Harding County (35021),~,~,~,~,Mortality,1816.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1659164,NM,NM: Hidalgo County (35023),106.4,245.5,164.0,26,Mortality,11401.0,All Races,Male,All Cancer Sites Combined,2012-2016,149.0,334.1,228.1
1660052,NM,NM: Lea County (35025),168.3,216.0,191.1,268,Mortality,177583.0,All Races,Male,All Cancer Sites Combined,2012-2016,133.4,170.1,150.9
1660940,NM,NM: Lincoln County (35027),112.6,167.2,137.3,120,Mortality,48335.0,All Races,Male,All Cancer Sites Combined,2012-2016,205.8,296.9,248.3
1661828,NM,NM: Los Alamos County (35028),100.0,162.7,128.3,73,Mortality,45266.0,All Races,Male,All Cancer Sites Combined,2012-2016,126.4,202.8,161.3
1662716,NM,NM: Luna County (35029),189.6,255.4,220.5,191,Mortality,61092.0,All Races,Male,All Cancer Sites Combined,2012-2016,269.9,360.3,312.6
1663604,NM,NM: McKinley County (35031),149.7,196.1,171.8,234,Mortality,176250.0,All Races,Male,All Cancer Sites Combined,2012-2016,116.3,150.9,132.8
1664492,NM,NM: Mora County (35033),101.8,238.8,158.0,28,Mortality,11811.0,All Races,Male,All Cancer Sites Combined,2012-2016,157.5,342.6,237.1
1665380,NM,NM: Otero County (35035),173.4,214.7,193.2,360,Mortality,167119.0,All Races,Male,All Cancer Sites Combined,2012-2016,193.7,238.9,215.4
1666268,NM,NM: Quay County (35037),145.2,245.4,189.3,65,Mortality,20811.0,All Races,Male,All Cancer Sites Combined,2012-2016,241.1,398.1,312.3
1667156,NM,NM: Rio Arriba County (35039),158.7,212.5,184.1,202,Mortality,97511.0,All Races,Male,All Cancer Sites Combined,2012-2016,179.6,237.8,207.2
1668044,NM,NM: Roosevelt County (35041),129.8,208.2,165.6,75,Mortality,48976.0,All Races,Male,All Cancer Sites Combined,2012-2016,120.5,192.0,153.1
1668932,NM,NM: San Juan County (35045),143.2,173.4,157.8,455,Mortality,318511.0,All Races,Male,All Cancer Sites Combined,2012-2016,130.0,156.6,142.9
1669820,NM,NM: San Miguel County (35047),142.5,199.5,169.1,156,Mortality,70531.0,All Races,Male,All Cancer Sites Combined,2012-2016,187.8,258.7,221.2
1670708,NM,NM: Sandoval County (35043),148.0,176.1,161.6,568,Mortality,336385.0,All Races,Male,All Cancer Sites Combined,2012-2016,155.3,183.3,168.9
1671596,NM,NM: Santa Fe County (35049),126.8,149.6,137.8,636,Mortality,357470.0,All Races,Male,All Cancer Sites Combined,2012-2016,164.4,192.3,177.9
1672484,NM,NM: Sierra County (35051),177.7,260.1,214.5,140,Mortality,28538.0,All Races,Male,All Cancer Sites Combined,2012-2016,412.7,578.9,490.6
1673372,NM,NM: Socorro County (35053),175.1,260.1,214.3,112,Mortality,43795.0,All Races,Male,All Cancer Sites Combined,2012-2016,210.6,307.7,255.7
1674260,NM,NM: Taos County (35055),125.7,173.1,147.8,173,Mortality,80397.0,All Races,Male,All Cancer Sites Combined,2012-2016,184.3,249.7,215.2
1675148,NM,NM: Torrance County (35057),138.9,215.4,173.8,94,Mortality,41001.0,All Races,Male,All Cancer Sites Combined,2012-2016,185.3,280.6,229.3
1676036,NM,NM: Union County (35059),127.0,285.2,193.7,27,Mortality,12176.0,All Races,Male,All Cancer Sites Combined,2012-2016,146.1,322.6,221.7
1677374,NM,NM: Valencia County (35061) - 1982+,159.3,197.4,177.6,366,Mortality,190795.0,All Races,Male,All Cancer Sites Combined,2012-2016,172.7,212.5,191.8
1678262,NV,NV: Carson City (32510),215.9,263.1,238.5,423,Mortality,138570.0,All Races,Male,All Cancer Sites Combined,2012-2016,276.9,335.8,305.3
1679150,NV,NV: Churchill County (32001),154.5,221.2,185.5,132,Mortality,60571.0,All Races,Male,All Cancer Sites Combined,2012-2016,182.3,258.4,217.9
1680038,NV,NV: Clark County (32003),178.3,186.2,182.2,8907,Mortality,5182441.0,All Races,Male,All Cancer Sites Combined,2012-2016,168.3,175.5,171.9
1680926,NV,NV: Douglas County (32005),119.0,154.2,135.5,268,Mortality,118922.0,All Races,Male,All Cancer Sites Combined,2012-2016,199.2,254.0,225.4
1681814,NV,NV: Elko County (32007),138.3,191.9,163.6,173,Mortality,135706.0,All Races,Male,All Cancer Sites Combined,2012-2016,109.2,148.0,127.5
1682702,NV,NV: Esmeralda County (32009),~,~,~,~,Mortality,2319.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1683590,NV,NV: Eureka County (32011),~,~,~,~,Mortality,5304.0,All Races,Male,All Cancer Sites Combined,2012-2016,~,~,~
1684478,NV,NV: Humboldt County (32013),149.9,245.3,193.5,78,Mortality,44902.0,All Races,Male,All Cancer Sites Combined,2012-2016,137.3,216.8,173.7
1685366,NV,NV: Lander County (32015),170.2,338.8,243.9,+,Mortality,15125.0,All Races,Male,All Cancer Sites Combined,2012-2016,177.8,344.8,251.2
1686254,NV,NV: Lincoln County (32017),73.9,187.4,120.0,23,Mortality,14063.0,All Races,Male,All Cancer Sites Combined,2012-2016,103.7,245.4,163.5
1687142,NV,NV: Lyon County (32019),183.9,229.9,205.8,364,Mortality,131201.0,All Races,Male,All Cancer Sites Combined,2012-2016,249.7,307.5,277.4
1688030,NV,NV: Mineral County (32021),178.8,341.9,248.5,49,Mortality,11114.0,All Races,Male,All Cancer Sites Combined,2012-2016,326.2,582.9,440.9
