,STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
1148802,MN,MN: Itasca County (27061),133.3,171.6,151.4,279,Mortality,112045.0,All Races,Female,All Cancer Sites Combined,2012-2016,220.6,280.0,249.0
1149240,MN,MN: Jackson County (27063),91.5,166.9,124.2,61,Mortality,25028.0,All Races,Female,All Cancer Sites Combined,2012-2016,186.4,313.1,243.7
1149678,MN,MN: Kanabec County (27065),109.1,171.5,137.2,85,Mortality,39291.0,All Races,Female,All Cancer Sites Combined,2012-2016,172.8,267.5,216.3
1150116,MN,MN: Kandiyohi County (27067),115.7,154.5,133.9,214,Mortality,105977.0,All Races,Female,All Cancer Sites Combined,2012-2016,175.8,230.9,201.9
1150554,MN,MN: Kittson County (27069),77.1,186.4,119.7,28,Mortality,11007.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.0,367.7,254.4
1150992,MN,MN: Koochiching County (27071),138.9,210.5,171.0,103,Mortality,32357.0,All Races,Female,All Cancer Sites Combined,2012-2016,259.8,386.1,318.3
1151430,MN,MN: Lac qui Parle County (27073),81.3,180.3,122.3,41,Mortality,17258.0,All Races,Female,All Cancer Sites Combined,2012-2016,170.5,322.3,237.6
1151868,MN,MN: Lake County (27075),86.8,164.9,120.5,54,Mortality,26088.0,All Races,Female,All Cancer Sites Combined,2012-2016,155.5,270.1,207.0
1152306,MN,MN: Lake of the Woods County (27077),90.1,221.2,141.4,24,Mortality,9477.0,All Races,Female,All Cancer Sites Combined,2012-2016,162.3,376.8,253.2
1152744,MN,MN: Le Sueur County (27079),99.4,146.1,120.9,117,Mortality,68758.0,All Races,Female,All Cancer Sites Combined,2012-2016,140.7,203.9,170.2
1153182,MN,MN: Lincoln County (27081),93.1,198.4,136.7,40,Mortality,14263.0,All Races,Female,All Cancer Sites Combined,2012-2016,200.4,381.9,280.4
1153620,MN,MN: Lyon County (27083),119.2,173.6,144.3,130,Mortality,64480.0,All Races,Female,All Cancer Sites Combined,2012-2016,168.4,239.4,201.6
1154058,MN,MN: Mahnomen County (27087),87.9,202.5,135.4,26,Mortality,13663.0,All Races,Female,All Cancer Sites Combined,2012-2016,124.3,278.8,190.3
1154496,MN,MN: Marshall County (27089),81.3,158.2,114.2,45,Mortality,23215.0,All Races,Female,All Cancer Sites Combined,2012-2016,141.4,259.4,193.8
1154934,MN,MN: Martin County (27091),113.5,165.4,137.2,136,Mortality,51157.0,All Races,Female,All Cancer Sites Combined,2012-2016,223.0,314.5,265.8
1155372,MN,MN: McLeod County (27085),114.8,157.7,134.8,176,Mortality,89926.0,All Races,Female,All Cancer Sites Combined,2012-2016,167.9,226.9,195.7
1155810,MN,MN: Meeker County (27093),107.8,160.0,131.7,115,Mortality,56764.0,All Races,Female,All Cancer Sites Combined,2012-2016,167.3,243.2,202.6
1156248,MN,MN: Mille Lacs County (27095),152.4,210.7,179.6,165,Mortality,63682.0,All Races,Female,All Cancer Sites Combined,2012-2016,221.1,301.8,259.1
1156686,MN,MN: Morrison County (27097),110.6,153.6,130.6,161,Mortality,81451.0,All Races,Female,All Cancer Sites Combined,2012-2016,168.3,230.7,197.7
1157124,MN,MN: Mower County (27099),120.9,162.1,140.2,223,Mortality,98372.0,All Races,Female,All Cancer Sites Combined,2012-2016,197.9,258.5,226.7
1157562,MN,MN: Murray County (27101),85.0,163.9,118.5,47,Mortality,21184.0,All Races,Female,All Cancer Sites Combined,2012-2016,163.0,295.0,221.9
1158000,MN,MN: Nicollet County (27103),82.9,124.2,101.9,107,Mortality,82778.0,All Races,Female,All Cancer Sites Combined,2012-2016,105.9,156.2,129.3
1158438,MN,MN: Nobles County (27105),113.8,172.7,140.8,106,Mortality,52651.0,All Races,Female,All Cancer Sites Combined,2012-2016,164.8,243.5,201.3
1158876,MN,MN: Norman County (27107),90.9,188.7,131.9,39,Mortality,16399.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.1,325.1,237.8
1159314,MN,MN: Olmsted County (27109),96.4,115.7,105.7,500,Mortality,383367.0,All Races,Female,All Cancer Sites Combined,2012-2016,119.2,142.4,130.4
1159752,MN,MN: Otter Tail County (27111),119.4,150.8,134.3,343,Mortality,142968.0,All Races,Female,All Cancer Sites Combined,2012-2016,215.2,266.7,239.9
1160190,MN,MN: Pennington County (27113),101.8,173.1,133.6,66,Mortality,35588.0,All Races,Female,All Cancer Sites Combined,2012-2016,143.4,235.9,185.5
1160628,MN,MN: Pine County (27115),128.6,178.0,151.5,162,Mortality,67659.0,All Races,Female,All Cancer Sites Combined,2012-2016,204.0,279.3,239.4
1161066,MN,MN: Pipestone County (27117),90.8,171.4,125.7,54,Mortality,23825.0,All Races,Female,All Cancer Sites Combined,2012-2016,170.3,295.7,226.7
1161504,MN,MN: Polk County (27119),112.2,157.6,133.3,157,Mortality,78583.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.8,233.6,199.8
1161942,MN,MN: Pope County (27121),79.0,148.2,108.8,53,Mortality,26873.0,All Races,Female,All Cancer Sites Combined,2012-2016,147.7,258.0,197.2
1162380,MN,MN: Ramsey County (27123),130.6,142.3,136.4,2259,Mortality,1367775.0,All Races,Female,All Cancer Sites Combined,2012-2016,158.4,172.1,165.2
1162818,MN,MN: Red Lake County (27125),~,~,~,~,Mortality,9944.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
1163256,MN,MN: Redwood County (27127),125.7,195.2,157.2,102,Mortality,39037.0,All Races,Female,All Cancer Sites Combined,2012-2016,213.1,317.2,261.3
1163694,MN,MN: Renville County (27129),89.2,147.5,115.1,75,Mortality,36653.0,All Races,Female,All Cancer Sites Combined,2012-2016,160.9,256.5,204.6
1164132,MN,MN: Rice County (27131),115.6,149.2,131.6,257,Mortality,158837.0,All Races,Female,All Cancer Sites Combined,2012-2016,142.6,182.8,161.8
1164570,MN,MN: Rock County (27133),92.6,169.4,125.8,54,Mortality,23926.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.5,294.5,225.7
1165008,MN,MN: Roseau County (27135),90.6,155.4,119.4,62,Mortality,37972.0,All Races,Female,All Cancer Sites Combined,2012-2016,125.2,209.3,163.3
1165446,MN,MN: Scott County (27139),109.8,136.0,122.4,367,Mortality,349111.0,All Races,Female,All Cancer Sites Combined,2012-2016,94.6,116.4,105.1
1165884,MN,MN: Sherburne County (27141),121.1,154.7,137.2,284,Mortality,222025.0,All Races,Female,All Cancer Sites Combined,2012-2016,113.5,143.7,127.9
1166322,MN,MN: Sibley County (27143),109.1,176.1,139.2,78,Mortality,37155.0,All Races,Female,All Cancer Sites Combined,2012-2016,165.9,262.0,209.9
1166760,MN,MN: St. Louis County (27137),139.8,158.1,148.7,1114,Mortality,498762.0,All Races,Female,All Cancer Sites Combined,2012-2016,210.4,236.9,223.4
1167198,MN,MN: Stearns County (27145),120.7,142.8,131.4,582,Mortality,382230.0,All Races,Female,All Cancer Sites Combined,2012-2016,140.1,165.2,152.3
1167636,MN,MN: Steele County (27147),102.5,143.1,121.4,160,Mortality,92055.0,All Races,Female,All Cancer Sites Combined,2012-2016,147.9,202.9,173.8
1168074,MN,MN: Stevens County (27149),108.7,201.9,149.4,54,Mortality,24511.0,All Races,Female,All Cancer Sites Combined,2012-2016,165.5,287.5,220.3
1168512,MN,MN: Swift County (27151),69.2,136.3,97.5,46,Mortality,23524.0,All Races,Female,All Cancer Sites Combined,2012-2016,143.2,260.8,195.5
1168950,MN,MN: Todd County (27153),98.5,145.4,119.9,116,Mortality,59621.0,All Races,Female,All Cancer Sites Combined,2012-2016,160.8,233.4,194.6
1169388,MN,MN: Traverse County (27155),56.9,180.2,101.7,17,Mortality,8413.0,All Races,Female,All Cancer Sites Combined,2012-2016,117.7,323.5,202.1
1170276,MN,MN: Wabasha County (27157),105.8,157.4,129.3,113,Mortality,53829.0,All Races,Female,All Cancer Sites Combined,2012-2016,173.0,252.4,209.9
1170714,MN,MN: Wadena County (27159),141.2,218.3,176.1,102,Mortality,34305.0,All Races,Female,All Cancer Sites Combined,2012-2016,242.4,360.9,297.3
1171152,MN,MN: Waseca County (27161),124.1,187.4,153.1,104,Mortality,49982.0,All Races,Female,All Cancer Sites Combined,2012-2016,170.0,252.1,208.1
1171590,MN,MN: Washington County (27163),124.3,142.0,133.0,927,Mortality,627636.0,All Races,Female,All Cancer Sites Combined,2012-2016,138.3,157.5,147.7
1172028,MN,MN: Watonwan County (27165),86.2,157.5,117.3,54,Mortality,27653.0,All Races,Female,All Cancer Sites Combined,2012-2016,146.7,254.8,195.3
1172466,MN,MN: Wilkin County (27167),112.5,222.4,159.4,41,Mortality,15792.0,All Races,Female,All Cancer Sites Combined,2012-2016,186.3,352.2,259.6
1172904,MN,MN: Winona County (27169),130.2,170.1,149.1,249,Mortality,128970.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.8,218.6,193.1
1173342,MN,MN: Wright County (27171),114.4,139.8,126.6,408,Mortality,322097.0,All Races,Female,All Cancer Sites Combined,2012-2016,114.7,139.6,126.7
1173780,MN,MN: Yellow Medicine County (27173),100.0,182.7,136.0,55,Mortality,24501.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.1,292.2,224.5
1174219,MO,MO: Adair County (29001),145.1,209.8,175.1,129,Mortality,66314.0,All Races,Female,All Cancer Sites Combined,2012-2016,162.4,231.1,194.5
1175107,MO,MO: Andrew County (29003),125.0,190.9,155.0,97,Mortality,43770.0,All Races,Female,All Cancer Sites Combined,2012-2016,179.7,270.3,221.6
1175995,MO,MO: Atchison County (29005),76.3,176.1,116.6,30,Mortality,13566.0,All Races,Female,All Cancer Sites Combined,2012-2016,149.2,315.7,221.1
1176883,MO,MO: Audrain County (29007),132.6,184.9,157.0,153,Mortality,70063.0,All Races,Female,All Cancer Sites Combined,2012-2016,185.1,255.8,218.4
1177771,MO,MO: Barry County (29009),127.1,170.3,147.3,198,Mortality,88220.0,All Races,Female,All Cancer Sites Combined,2012-2016,194.3,258.0,224.4
1178659,MO,MO: Barton County (29011),135.5,221.0,174.0,78,Mortality,30494.0,All Races,Female,All Cancer Sites Combined,2012-2016,202.2,319.2,255.8
1179547,MO,MO: Bates County (29013),136.5,205.5,168.0,107,Mortality,41636.0,All Races,Female,All Cancer Sites Combined,2012-2016,210.6,310.5,257.0
1180435,MO,MO: Benton County (29015),155.8,219.5,184.9,169,Mortality,47057.0,All Races,Female,All Cancer Sites Combined,2012-2016,307.0,417.6,359.1
1181323,MO,MO: Bollinger County (29017),108.3,182.6,141.3,64,Mortality,30998.0,All Races,Female,All Cancer Sites Combined,2012-2016,159.0,263.7,206.5
1182211,MO,MO: Boone County (29019),115.0,137.3,125.8,534,Mortality,444711.0,All Races,Female,All Cancer Sites Combined,2012-2016,110.1,130.7,120.1
1183099,MO,MO: Buchanan County (29021),159.3,191.1,174.6,509,Mortality,222175.0,All Races,Female,All Cancer Sites Combined,2012-2016,209.6,249.9,229.1
1183987,MO,MO: Butler County (29023),163.9,208.0,184.8,298,Mortality,110448.0,All Races,Female,All Cancer Sites Combined,2012-2016,240.0,302.2,269.8
1184875,MO,MO: Caldwell County (29025),110.9,201.7,150.5,52,Mortality,22359.0,All Races,Female,All Cancer Sites Combined,2012-2016,173.7,305.0,232.6
1185763,MO,MO: Callaway County (29027),123.5,165.8,143.4,193,Mortality,108945.0,All Races,Female,All Cancer Sites Combined,2012-2016,153.0,204.0,177.2
1186651,MO,MO: Camden County (29029),109.0,142.1,124.5,259,Mortality,112421.0,All Races,Female,All Cancer Sites Combined,2012-2016,203.2,260.2,230.4
1187539,MO,MO: Cape Girardeau County (29031),132.9,163.1,147.4,403,Mortality,200540.0,All Races,Female,All Cancer Sites Combined,2012-2016,181.8,221.6,201.0
1188427,MO,MO: Carroll County (29033),120.0,207.6,158.5,62,Mortality,22893.0,All Races,Female,All Cancer Sites Combined,2012-2016,207.6,347.2,270.8
1189315,MO,MO: Carter County (29035),118.9,236.1,169.3,39,Mortality,16136.0,All Races,Female,All Cancer Sites Combined,2012-2016,171.9,330.4,241.7
1190203,MO,MO: Cass County (29037),137.7,164.7,150.7,510,Mortality,258770.0,All Races,Female,All Cancer Sites Combined,2012-2016,180.4,215.0,197.1
1191091,MO,MO: Cedar County (29039),126.2,195.6,157.5,98,Mortality,34846.0,All Races,Female,All Cancer Sites Combined,2012-2016,228.3,342.7,281.2
1191979,MO,MO: Chariton County (29041),127.6,225.5,170.1,61,Mortality,19140.0,All Races,Female,All Cancer Sites Combined,2012-2016,243.8,409.4,318.7
1192867,MO,MO: Christian County (29043),115.2,144.5,129.2,318,Mortality,209657.0,All Races,Female,All Cancer Sites Combined,2012-2016,135.5,169.3,151.7
1193755,MO,MO: Clark County (29045),145.2,264.1,197.0,53,Mortality,16949.0,All Races,Female,All Cancer Sites Combined,2012-2016,234.2,409.0,312.7
1194643,MO,MO: Clay County (29047),134.2,152.7,143.2,965,Mortality,594433.0,All Races,Female,All Cancer Sites Combined,2012-2016,152.3,172.9,162.3
1195531,MO,MO: Clinton County (29049),151.2,218.1,182.1,128,Mortality,50999.0,All Races,Female,All Cancer Sites Combined,2012-2016,209.4,298.4,251.0
1196419,MO,MO: Cole County (29051),120.4,150.7,134.8,332,Mortality,189669.0,All Races,Female,All Cancer Sites Combined,2012-2016,156.7,194.9,175.0
1197307,MO,MO: Cooper County (29053),120.3,186.3,150.2,93,Mortality,41851.0,All Races,Female,All Cancer Sites Combined,2012-2016,179.4,272.2,222.2
1198195,MO,MO: Crawford County (29055),141.3,198.6,167.9,147,Mortality,61789.0,All Races,Female,All Cancer Sites Combined,2012-2016,201.0,279.6,237.9
1199083,MO,MO: Dade County (29057),89.5,174.4,125.1,45,Mortality,18727.0,All Races,Female,All Cancer Sites Combined,2012-2016,175.3,321.5,240.3
1199971,MO,MO: Dallas County (29059),92.7,149.7,118.2,77,Mortality,41430.0,All Races,Female,All Cancer Sites Combined,2012-2016,146.7,232.3,185.9
1200859,MO,MO: Daviess County (29061),140.2,246.2,186.9,57,Mortality,20599.0,All Races,Female,All Cancer Sites Combined,2012-2016,209.6,358.5,276.7
1201747,MO,MO: DeKalb County (29063),86.9,172.5,123.8,43,Mortality,23218.0,All Races,Female,All Cancer Sites Combined,2012-2016,134.0,249.5,185.2
1202635,MO,MO: Dent County (29065),119.3,185.4,149.2,92,Mortality,39137.0,All Races,Female,All Cancer Sites Combined,2012-2016,189.5,288.3,235.1
1203523,MO,MO: Douglas County (29067),104.0,171.4,134.0,76,Mortality,33804.0,All Races,Female,All Cancer Sites Combined,2012-2016,177.1,281.4,224.8
1204411,MO,MO: Dunklin County (29069),165.5,218.5,190.5,218,Mortality,81238.0,All Races,Female,All Cancer Sites Combined,2012-2016,233.9,306.4,268.3
1205299,MO,MO: Franklin County (29071),135.7,162.6,148.7,505,Mortality,257016.0,All Races,Female,All Cancer Sites Combined,2012-2016,179.7,214.4,196.5
1206187,MO,MO: Gasconade County (29073),107.1,170.2,135.4,88,Mortality,37322.0,All Races,Female,All Cancer Sites Combined,2012-2016,189.1,290.5,235.8
1207075,MO,MO: Gentry County (29075),85.3,179.9,125.1,35,Mortality,17398.0,All Races,Female,All Cancer Sites Combined,2012-2016,140.1,279.8,201.2
1207963,MO,MO: Greene County (29077),130.9,146.4,138.5,1316,Mortality,729680.0,All Races,Female,All Cancer Sites Combined,2012-2016,170.7,190.4,180.4
1208851,MO,MO: Grundy County (29079),120.0,201.7,156.3,70,Mortality,26588.0,All Races,Female,All Cancer Sites Combined,2012-2016,205.2,332.6,263.3
1209739,MO,MO: Harrison County (29081),112.7,205.9,153.3,57,Mortality,21841.0,All Races,Female,All Cancer Sites Combined,2012-2016,197.7,338.1,261.0
1210627,MO,MO: Henry County (29083),140.1,197.5,166.6,149,Mortality,55849.0,All Races,Female,All Cancer Sites Combined,2012-2016,225.7,313.2,266.8
1211515,MO,MO: Hickory County (29085),101.3,181.0,135.3,68,Mortality,23903.0,All Races,Female,All Cancer Sites Combined,2012-2016,220.9,360.7,284.5
1212403,MO,MO: Holt County (29087),88.6,209.4,137.4,29,Mortality,11556.0,All Races,Female,All Cancer Sites Combined,2012-2016,168.1,360.4,251.0
1213291,MO,MO: Howard County (29089),66.2,136.4,96.0,35,Mortality,25439.0,All Races,Female,All Cancer Sites Combined,2012-2016,95.8,191.3,137.6
1214179,MO,MO: Howell County (29091),143.0,185.6,163.1,251,Mortality,103189.0,All Races,Female,All Cancer Sites Combined,2012-2016,214.1,275.3,243.2
1215067,MO,MO: Iron County (29093),136.9,228.9,177.9,71,Mortality,26108.0,All Races,Female,All Cancer Sites Combined,2012-2016,212.4,343.0,271.9
1215955,MO,MO: Jackson County (29095),146.2,156.8,151.4,3272,Mortality,1767155.0,All Races,Female,All Cancer Sites Combined,2012-2016,178.9,191.6,185.2
1216843,MO,MO: Jasper County (29097),152.3,179.3,165.4,613,Mortality,301203.0,All Races,Female,All Cancer Sites Combined,2012-2016,187.7,220.3,203.5
1217731,MO,MO: Jefferson County (29099),149.8,170.2,159.7,1006,Mortality,557869.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.4,191.8,180.3
1218619,MO,MO: Johnson County (29101),135.3,180.1,156.5,202,Mortality,131254.0,All Races,Female,All Cancer Sites Combined,2012-2016,133.4,176.6,153.9
1219507,MO,MO: Knox County (29103),98.0,241.0,156.0,25,Mortality,10017.0,All Races,Female,All Cancer Sites Combined,2012-2016,161.5,368.4,249.6
1220395,MO,MO: Laclede County (29105),144.0,191.9,166.6,203,Mortality,89989.0,All Races,Female,All Cancer Sites Combined,2012-2016,195.6,258.8,225.6
1221283,MO,MO: Lafayette County (29107),139.2,186.5,161.4,201,Mortality,82707.0,All Races,Female,All Cancer Sites Combined,2012-2016,210.6,279.0,243.0
1222171,MO,MO: Lawrence County (29109),134.8,178.9,155.5,212,Mortality,96055.0,All Races,Female,All Cancer Sites Combined,2012-2016,192.0,252.5,220.7
1223059,MO,MO: Lewis County (29111),100.3,182.3,136.2,50,Mortality,25221.0,All Races,Female,All Cancer Sites Combined,2012-2016,147.1,261.4,198.2
1223947,MO,MO: Lincoln County (29113),156.6,201.7,178.1,258,Mortality,135279.0,All Races,Female,All Cancer Sites Combined,2012-2016,168.2,215.5,190.7
1224835,MO,MO: Linn County (29115),152.2,239.3,191.7,92,Mortality,31714.0,All Races,Female,All Cancer Sites Combined,2012-2016,233.9,355.8,290.1
1225723,MO,MO: Livingston County (29117),135.2,205.1,167.1,106,Mortality,41646.0,All Races,Female,All Cancer Sites Combined,2012-2016,208.4,307.8,254.5
1226611,MO,MO: Macon County (29121),129.3,200.8,161.8,100,Mortality,39056.0,All Races,Female,All Cancer Sites Combined,2012-2016,208.3,311.4,256.0
1227499,MO,MO: Madison County (29123),143.3,228.9,181.9,80,Mortality,31203.0,All Races,Female,All Cancer Sites Combined,2012-2016,203.3,319.1,256.4
1228387,MO,MO: Maries County (29125),95.2,179.4,131.5,45,Mortality,22437.0,All Races,Female,All Cancer Sites Combined,2012-2016,146.3,268.4,200.6
1229275,MO,MO: Marion County (29127),128.2,179.1,151.9,156,Mortality,74186.0,All Races,Female,All Cancer Sites Combined,2012-2016,178.6,246.0,210.3
1230163,MO,MO: McDonald County (29119),122.3,183.7,150.5,102,Mortality,56151.0,All Races,Female,All Cancer Sites Combined,2012-2016,148.1,220.5,181.7
1231051,MO,MO: Mercer County (29129),60.8,180.7,106.3,17,Mortality,9173.0,All Races,Female,All Cancer Sites Combined,2012-2016,108.0,296.7,185.3
1231939,MO,MO: Miller County (29131),144.1,201.6,170.8,151,Mortality,62259.0,All Races,Female,All Cancer Sites Combined,2012-2016,205.4,284.5,242.5
1232827,MO,MO: Mississippi County (29133),132.0,212.1,168.1,79,Mortality,32511.0,All Races,Female,All Cancer Sites Combined,2012-2016,192.4,302.8,243.0
1233715,MO,MO: Moniteau County (29135),106.7,178.0,138.8,67,Mortality,37150.0,All Races,Female,All Cancer Sites Combined,2012-2016,139.8,229.0,180.3
1234603,MO,MO: Monroe County (29137),79.5,152.9,110.5,43,Mortality,21544.0,All Races,Female,All Cancer Sites Combined,2012-2016,144.4,268.8,199.6
1235491,MO,MO: Montgomery County (29139),141.6,229.8,181.3,78,Mortality,29293.0,All Races,Female,All Cancer Sites Combined,2012-2016,210.5,332.3,266.3
1236379,MO,MO: Morgan County (29141),140.5,200.8,168.2,143,Mortality,49864.0,All Races,Female,All Cancer Sites Combined,2012-2016,241.7,337.8,286.8
1237267,MO,MO: New Madrid County (29143),164.4,234.4,196.8,136,Mortality,47329.0,All Races,Female,All Cancer Sites Combined,2012-2016,241.1,339.9,287.4
1238155,MO,MO: Newton County (29145),149.5,186.7,167.3,337,Mortality,146895.0,All Races,Female,All Cancer Sites Combined,2012-2016,205.6,255.3,229.4
1239043,MO,MO: Nodaway County (29147),116.7,178.3,144.8,100,Mortality,56811.0,All Races,Female,All Cancer Sites Combined,2012-2016,143.2,214.1,176.0
1239931,MO,MO: Oregon County (29149),100.7,181.0,136.0,57,Mortality,27665.0,All Races,Female,All Cancer Sites Combined,2012-2016,156.1,266.9,206.0
1240819,MO,MO: Osage County (29151),98.6,168.9,129.9,61,Mortality,32891.0,All Races,Female,All Cancer Sites Combined,2012-2016,141.9,238.2,185.5
1241707,MO,MO: Ozark County (29153),117.2,208.4,156.9,64,Mortality,23330.0,All Races,Female,All Cancer Sites Combined,2012-2016,211.3,350.3,274.3
1242595,MO,MO: Pemiscot County (29155),141.3,211.6,173.6,106,Mortality,46340.0,All Races,Female,All Cancer Sites Combined,2012-2016,187.3,276.7,228.7
1243483,MO,MO: Perry County (29157),123.3,186.6,152.2,103,Mortality,47940.0,All Races,Female,All Cancer Sites Combined,2012-2016,175.4,260.6,214.9
1244371,MO,MO: Pettis County (29159),155.5,201.9,177.5,250,Mortality,107003.0,All Races,Female,All Cancer Sites Combined,2012-2016,205.6,264.5,233.6
1245259,MO,MO: Phelps County (29161),119.2,160.5,138.6,194,Mortality,107246.0,All Races,Female,All Cancer Sites Combined,2012-2016,156.3,208.2,180.9
1246147,MO,MO: Pike County (29163),139.3,210.2,171.7,105,Mortality,41670.0,All Races,Female,All Cancer Sites Combined,2012-2016,206.1,305.0,252.0
1247035,MO,MO: Platte County (29165),105.0,131.9,117.9,322,Mortality,240762.0,All Races,Female,All Cancer Sites Combined,2012-2016,119.5,149.2,133.7
1247923,MO,MO: Polk County (29167),96.4,140.3,116.7,125,Mortality,79598.0,All Races,Female,All Cancer Sites Combined,2012-2016,130.7,187.1,157.0
1248811,MO,MO: Pulaski County (29169),152.3,206.6,178.0,174,Mortality,115379.0,All Races,Female,All Cancer Sites Combined,2012-2016,129.2,175.0,150.8
1249699,MO,MO: Putnam County (29171),125.5,250.7,177.9,40,Mortality,12096.0,All Races,Female,All Cancer Sites Combined,2012-2016,236.2,450.3,330.7
1250587,MO,MO: Ralls County (29173),114.4,199.7,151.9,58,Mortality,25247.0,All Races,Female,All Cancer Sites Combined,2012-2016,174.4,297.0,229.7
1251475,MO,MO: Randolph County (29175),147.9,207.9,175.8,150,Mortality,59666.0,All Races,Female,All Cancer Sites Combined,2012-2016,212.8,295.0,251.4
1252363,MO,MO: Ray County (29177),150.1,212.1,178.9,142,Mortality,57410.0,All Races,Female,All Cancer Sites Combined,2012-2016,208.3,291.5,247.3
1253251,MO,MO: Reynolds County (29179),110.9,215.8,155.3,41,Mortality,15612.0,All Races,Female,All Cancer Sites Combined,2012-2016,188.5,356.3,262.6
1254139,MO,MO: Ripley County (29181),149.1,231.0,186.4,94,Mortality,35218.0,All Races,Female,All Cancer Sites Combined,2012-2016,215.7,326.6,266.9
1255027,MO,MO: Saline County (29195),141.1,200.8,168.7,143,Mortality,58234.0,All Races,Female,All Cancer Sites Combined,2012-2016,207.0,289.3,245.6
1255915,MO,MO: Schuyler County (29197),99.0,229.6,152.7,27,Mortality,11192.0,All Races,Female,All Cancer Sites Combined,2012-2016,159.0,351.0,241.2
1256803,MO,MO: Scotland County (29199),118.4,244.7,171.5,36,Mortality,12367.0,All Races,Female,All Cancer Sites Combined,2012-2016,203.9,403.0,291.1
1257691,MO,MO: Scott County (29201),154.6,200.6,176.4,247,Mortality,100325.0,All Races,Female,All Cancer Sites Combined,2012-2016,216.5,278.9,246.2
1258579,MO,MO: Shannon County (29203),83.5,164.1,117.7,40,Mortality,20854.0,All Races,Female,All Cancer Sites Combined,2012-2016,137.0,261.2,191.8
1259467,MO,MO: Shelby County (29205),83.0,179.8,123.1,33,Mortality,15411.0,All Races,Female,All Cancer Sites Combined,2012-2016,147.4,300.7,214.1
1260355,MO,MO: St. Charles County (29183),126.2,140.0,132.9,1502,Mortality,966130.0,All Races,Female,All Cancer Sites Combined,2012-2016,147.7,163.5,155.5
1261243,MO,MO: St. Clair County (29185),116.5,199.9,152.8,68,Mortality,23378.0,All Races,Female,All Cancer Sites Combined,2012-2016,225.9,368.7,290.9
1262131,MO,MO: St. Francois County (29187),173.5,213.1,192.5,395,Mortality,154047.0,All Races,Female,All Cancer Sites Combined,2012-2016,231.7,283.0,256.4
1263019,MO,MO: St. Genevieve County (29186),128.3,195.4,158.9,100,Mortality,44163.0,All Races,Female,All Cancer Sites Combined,2012-2016,184.2,275.4,226.4
1263907,MO,MO: St. Louis City (29510),159.1,176.4,167.6,1553,Mortality,819222.0,All Races,Female,All Cancer Sites Combined,2012-2016,180.3,199.2,189.6
1264795,MO,MO: St. Louis County (29189),138.7,146.6,142.6,5426,Mortality,2630246.0,All Races,Female,All Cancer Sites Combined,2012-2016,200.8,211.9,206.3
1265683,MO,MO: Stoddard County (29207),158.3,210.4,182.8,213,Mortality,75837.0,All Races,Female,All Cancer Sites Combined,2012-2016,244.4,321.2,280.9
1266571,MO,MO: Stone County (29209),122.2,164.1,141.6,221,Mortality,80547.0,All Races,Female,All Cancer Sites Combined,2012-2016,239.4,313.0,274.4
1267459,MO,MO: Sullivan County (29211),70.6,161.7,108.0,27,Mortality,15714.0,All Races,Female,All Cancer Sites Combined,2012-2016,113.2,250.0,171.8
1268347,MO,MO: Taney County (29213),129.5,164.6,146.1,295,Mortality,138451.0,All Races,Female,All Cancer Sites Combined,2012-2016,189.4,238.8,213.1
1269235,MO,MO: Texas County (29215),108.4,156.8,130.6,130,Mortality,61738.0,All Races,Female,All Cancer Sites Combined,2012-2016,175.9,250.0,210.6
1270573,MO,MO: Vernon County (29217),154.8,220.2,185.1,139,Mortality,53152.0,All Races,Female,All Cancer Sites Combined,2012-2016,219.8,308.8,261.5
1271461,MO,MO: Warren County (29219),125.9,173.4,148.1,163,Mortality,83166.0,All Races,Female,All Cancer Sites Combined,2012-2016,167.1,228.5,196.0
1272349,MO,MO: Washington County (29221),137.0,197.9,165.2,126,Mortality,60824.0,All Races,Female,All Cancer Sites Combined,2012-2016,172.6,246.6,207.2
1273237,MO,MO: Wayne County (29223),161.5,243.5,198.8,108,Mortality,33734.0,All Races,Female,All Cancer Sites Combined,2012-2016,262.6,386.5,320.2
1274125,MO,MO: Webster County (29225),124.1,170.8,146.0,162,Mortality,91313.0,All Races,Female,All Cancer Sites Combined,2012-2016,151.1,206.9,177.4
1275013,MO,MO: Worth County (29227),129.8,352.2,214.8,22,Mortality,5205.0,All Races,Female,All Cancer Sites Combined,2012-2016,264.9,639.9,422.7
1275901,MO,MO: Wright County (29229),127.2,190.2,156.0,108,Mortality,46676.0,All Races,Female,All Cancer Sites Combined,2012-2016,189.8,279.4,231.4
1276789,MS,MS: Adams County (28001),181.9,239.1,208.9,239,Mortality,78574.0,All Races,Female,All Cancer Sites Combined,2012-2016,266.8,345.3,304.2
